Incident ID, Reported on, Incident type, Address
134854,15/04/2016 at 21:44,Roading/Streets,"2, Gosset Street, Saint Albans, 8014, Canterbury"
134883,15/04/2016 at 23:56,Rubbish/Recycling,"4 Linden Grove Ave, Middleton, Christchurch 8024, New Zealand"
134895,16/04/2016 at 00:34,Graffiti,"309, New Brighton Road, Burwood, 8083, Canterbury"
134938,16/04/2016 at 02:49,Wastewater/Stormwater,"228A Centaurus Rd, St Martins, Christchurch 8022, New Zealand"
134945,16/04/2016 at 03:16,Water Supply,"45 Colombo St, Cashmere, Christchurch 8022, New Zealand"
134951,16/04/2016 at 03:57,Water Supply,"11 Wherstead Rd, Cashmere, Christchurch 8022, New Zealand"
134952,16/04/2016 at 04:12,Graffiti,"75 Ford Rd, Opawa, Christchurch 8023, New Zealand"
134971,16/04/2016 at 05:49,Roading/Streets,"Tedder Ave, North New Brighton, Christchurch 8083, New Zealand"
134973,16/04/2016 at 05:54,Roading/Streets,"64 Tedder Ave, North New Brighton, Christchurch 8083, New Zealand"
134977,16/04/2016 at 06:15,Water Supply,"7, York Street, Waltham, 8023, Canterbury"
134986,16/04/2016 at 07:04,Roading/Streets,"38A, McDougall Avenue, Saint Albans, 8014, Canterbury"
134997,16/04/2016 at 08:54,Roading/Streets,"50 Victoria St, Christchurch Central, Christchurch 8013, New Zealand"
134999,16/04/2016 at 09:37,Parks,"36, Westminster Street, Saint Albans, 8014, Canterbury"
135013,16/04/2016 at 20:33,Wastewater/Stormwater,"887, Main North Road, Belfast, 8051, Canterbury"
135014,16/04/2016 at 20:34,Wastewater/Stormwater,"887, Main North Road, Belfast, 8051, Canterbury"
135016,16/04/2016 at 20:39,Rubbish/Recycling,"862, Main North Road, Belfast, 8051, Canterbury"
135017,16/04/2016 at 20:53,Graffiti,"15, Dickeys Road, Belfast, 8051, Canterbury"
135018,16/04/2016 at 20:57,Graffiti,"15, Dickeys Road, Belfast, 8051, Canterbury"
135019,16/04/2016 at 21:00,Roading/Streets,"2 Marriner St, Sumner, Christchurch 8081, New Zealand"
135020,16/04/2016 at 21:41,Graffiti,"210-220 Pages Rd, Wainoni, Christchurch 8061, New Zealand"
135021,16/04/2016 at 21:42,Graffiti,"108 Bickerton St, Wainoni, Christchurch 8061, New Zealand"
